[-26.9537190000,-65.8879070000],
[-26.9553850000,-65.8890280000],
[-26.9626060000,-65.8903580000],
[-26.9701000000,-65.8947730000],
[-26.9823180000,-65.9049560000],
[-26.9841510000,-65.9064580000],
[-26.9886570000,-65.9101190000],
[-26.9943490000,-65.9066560000],
[-26.9992860000,-65.9069090000],
[-27.0004690000,-65.9082180000],
[-27.0076130000,-65.9160930000],
[-27.0123570000,-65.9262370000],
[-27.0217400000,-65.9403530000],
[-27.0286940000,-65.9534330000],
[-27.0294980000,-65.9549420000],
[-27.0307170000,-65.9571310000],
[-27.0368210000,-65.9681140000],
[-27.0431030000,-65.9717780000],
[-27.0462530000,-65.9736120000],
[-27.0514250000,-65.9760820000],
[-27.0582030000,-65.9793070000],
[-27.0680860000,-65.9837810000],
[-27.0705040000,-65.9848740000],
[-27.0857210000,-65.9939970000],
[-27.0913890000,-65.9974280000],
[-27.0959460000,-66.0001730000],
[-27.1020290000,-66.0059760000],
[-27.1041450000,-66.0116490000],
[-27.1050880000,-66.0141730000],
[-27.1070350000,-66.0257950000],
[-27.1086760000,-66.0360010000],
[-27.1159840000,-66.0440290000],
[-27.1333700000,-66.0571340000],
[-27.1336400000,-66.0573380000],
[-27.1451970000,-66.0653590000],
[-27.1498540000,-66.0663250000],
[-27.1543480000,-66.0672590000],
[-27.1546040000,-66.0774380000],
[-27.1626170000,-66.0787980000],
[-27.1745190000,-66.0814230000],
[-27.1857270000,-66.0837670000],
[-27.1924650000,-66.0890130000],
[-27.1944400000,-66.0905580000],
[-27.2031630000,-66.0967050000],
[-27.2078710000,-66.1007590000],
[-27.2099370000,-66.1025420000],
[-27.2145870000,-66.1109040000],
[-27.2194060000,-66.1223670000],
[-27.2292110000,-66.1371780000],
[-27.2425200000,-66.1475300000],
[-27.2438060000,-66.1439100000],
[-27.2446470000,-66.1414500000],
[-27.2453040000,-66.1395850000],
[-27.2455070000,-66.1389970000],
[-27.2464120000,-66.1365800000],
[-27.2473980000,-66.1342210000],
[-27.2486000000,-66.1319960000],
[-27.2497120000,-66.1307350000],
[-27.2502000000,-66.1301780000],
[-27.2502630000,-66.1301050000],
[-27.2517810000,-66.1281070000],
[-27.2528390000,-66.1257730000],
[-27.2537340000,-66.1233330000],
[-27.2546210000,-66.1208800000],
[-27.2556970000,-66.1185790000],
[-27.2572690000,-66.1166520000],
[-27.2589940000,-66.1148390000],
[-27.2603670000,-66.1127170000],
[-27.2616420000,-66.1104870000],
[-27.2628890000,-66.1082360000],
[-27.2642080000,-66.1060780000],
[-27.2656900000,-66.1040800000],
[-27.2674600000,-66.1023950000],
[-27.2694190000,-66.1009330000],
[-27.2714050000,-66.0994700000],
[-27.2732210000,-66.0978100000],
[-27.2749910000,-66.0959990000],
[-27.2766980000,-66.0940690000],
[-27.2781160000,-66.0920020000],
[-27.2790380000,-66.0897180000],
[-27.2793730000,-66.0871830000],
[-27.2793840000,-66.0844960000],
[-27.2793500000,-66.0817820000],
[-27.2794680000,-66.0791460000],
[-27.2795690000,-66.0765170000],
[-27.2796970000,-66.0753750000],
[-27.2798590000,-66.0739220000],
[-27.2800860000,-66.0726520000],
[-27.2803210000,-66.0713440000],
[-27.2808730000,-66.0687920000],
[-27.2815240000,-66.0662670000],
[-27.2823100000,-66.0638030000],
[-27.2827160000,-66.0628740000],
[-27.2833490000,-66.0614430000],
[-27.2844240000,-66.0591000000],
[-27.2852820000,-66.0566610000],
[-27.2859150000,-66.0541460000],
[-27.2864390000,-66.0515830000],
[-27.2868910000,-66.0490000000],
[-27.2872710000,-66.0464120000],
[-27.2874530000,-66.0437860000],
[-27.2877600000,-66.0411900000],
[-27.2882840000,-66.0386400000],
[-27.2888630000,-66.0360800000],
[-27.2895130000,-66.0335470000],
[-27.2902630000,-66.0310550000],
[-27.2911750000,-66.0286530000],
[-27.2923300000,-66.0263630000],
[-27.2935400000,-66.0240980000],
[-27.2946050000,-66.0217650000],
[-27.2953190000,-66.0192630000],
[-27.2958420000,-66.0166720000],
[-27.2965650000,-66.0142040000],
[-27.2978370000,-66.0120480000],
[-27.2994530000,-66.0101010000],
[-27.3009240000,-66.0080450000],
[-27.3022960000,-66.0058280000],
[-27.3034690000,-66.0035300000],
[-27.3039020000,-66.0010720000],
[-27.3034060000,-65.9978980000],
[-27.3042090000,-65.9963090000],
[-27.3059150000,-65.9945330000],
[-27.3079000000,-65.9929190000],
[-27.3099750000,-65.9914850000],
[-27.3102370000,-65.9913330000],
[-27.3120510000,-65.9902920000],
[-27.3142440000,-65.9893630000],
[-27.3165180000,-65.9886150000],
[-27.3188010000,-65.9879880000],
[-27.3211020000,-65.9874930000],
[-27.3234310000,-65.9871340000],
[-27.3257590000,-65.9868150000],
[-27.3280870000,-65.9864390000],
[-27.3303700000,-65.9858980000],
[-27.3326270000,-65.9851880000],
[-27.3348550000,-65.9843760000],
[-27.3370840000,-65.9835150000],
[-27.3393040000,-65.9826860000],
[-27.3415420000,-65.9818990000],
[-27.3437800000,-65.9811080000],
[-27.3460180000,-65.9803220000],
[-27.3482470000,-65.9795210000],
[-27.3504850000,-65.9787140000],
[-27.3527050000,-65.9779030000],
[-27.3549250000,-65.9770360000],
[-27.3571270000,-65.9761160000],
[-27.3593290000,-65.9752280000],
[-27.3615580000,-65.9744220000],
[-27.3638230000,-65.9737520000],
[-27.3661150000,-65.9731900000],
[-27.3684160000,-65.9726890000],
[-27.3707170000,-65.9721630000],
[-27.3798310000,-65.9712080000],
[-27.3809370000,-65.9710960000],
[-27.3828090000,-65.9709060000],
[-27.3905880000,-65.9694810000],
[-27.3980600000,-65.9681090000],
[-27.4019770000,-65.9682600000],
[-27.4144580000,-65.9703800000],
[-27.4191240000,-65.9720620000],
[-27.4259290000,-65.9745180000],
[-27.4301980000,-65.9760520000],
[-27.4433830000,-65.9776620000],
[-27.4561060000,-65.9731990000],
[-27.4601940000,-65.9734710000],
[-27.4719440000,-65.9742370000],
[-27.4852280000,-65.9766270000],
[-27.4966340000,-65.9732550000],
[-27.5025630000,-65.9715020000],
[-27.5134450000,-65.9672430000],
[-27.5271900000,-65.9691350000],
[-27.5308630000,-65.9692270000],
[-27.5455720000,-65.9695850000],
[-27.5581910000,-65.9615090000],
[-27.5597650000,-65.9604940000],
[-27.5654050000,-65.9583420000],
[-27.5746890000,-65.9547970000],
[-27.5853430000,-65.9447130000],
[-27.5939940000,-65.9369070000],
[-27.5943280000,-65.9368580000],
[-27.6057520000,-65.9351270000],
[-27.6139900000,-65.9323410000],
[-27.6143050000,-65.9322320000],
[-27.6252390000,-65.9252580000],
[-27.6292190000,-65.9252780000],
[-27.6393710000,-65.9253370000],
[-27.6568500000,-65.9245980000],
[-27.6640410000,-65.9220610000],
[-27.6671450000,-65.9209620000],
[-27.6773180000,-65.9116390000],
[-27.6850030000,-65.9063900000],
[-27.6823770000,-65.8937820000],
[-27.6823500000,-65.8936650000],
[-27.6798440000,-65.8749750000],
[-27.6819570000,-65.8667390000],
[-27.6917980000,-65.8625840000],
[-27.6919960000,-65.8625170000],
[-27.7078560000,-65.8577730000],
[-27.7230280000,-65.8515390000],
[-27.7271500000,-65.8496580000],
[-27.7400560000,-65.8437850000],
[-27.7601550000,-65.8380350000],
[-27.7606690000,-65.8380090000],
[-27.7761440000,-65.8371210000],
[-27.7914130000,-65.8374740000],
[-27.8034310000,-65.8356950000],
[-27.8141580000,-65.8340000000],
[-27.8245080000,-65.8337150000],
[-27.8325840000,-65.8328470000],
[-27.8328000000,-65.8328290000],
[-27.8424900000,-65.8314670000],
[-27.8529870000,-65.8254860000],
[-27.8581720000,-65.8163220000],
[-27.8555090000,-65.8084650000],
[-27.8524100000,-65.8055980000],
[-27.8501330000,-65.8034880000],
[-27.8407540000,-65.8017360000],
[-27.8303900000,-65.7985420000],
[-27.8245310000,-65.7966290000],
[-27.8228700000,-65.7960870000],
[-27.8162640000,-65.7896470000],
[-27.8092460000,-65.7856510000],
[-27.8038840000,-65.7842970000],
[-27.7959860000,-65.7833920000],
[-27.7856740000,-65.7844880000],
[-27.7848760000,-65.7822060000],
[-27.7838610000,-65.7793090000],
[-27.7754780000,-65.7526940000],
[-27.7749510000,-65.7510060000],
[-27.7750680000,-65.7508810000],
[-27.7845520000,-65.7407390000],
[-27.7940680000,-65.7290470000],
[-27.7941400000,-65.7289810000],
[-27.8101810000,-65.7140020000],
[-27.8102130000,-65.7139820000],
[-27.8296920000,-65.7019990000],
[-27.8314690000,-65.7015350000],
[-27.8494250000,-65.6968690000],
[-27.8664740000,-65.6942650000],
[-27.8788040000,-65.6917520000],
[-27.8836390000,-65.6907660000],
[-27.8911520000,-65.6892390000],
[-27.8932840000,-65.6883850000],
[-27.9019620000,-65.6849090000],
[-27.9169450000,-65.6789130000],
[-27.9369820000,-65.6694990000],
[-27.9469440000,-65.6655970000],
[-27.9518300000,-65.6636890000],
[-27.9589610000,-65.6609050000],
[-27.9671870000,-65.6521570000],
[-27.9686260000,-65.6195560000],
[-27.9844640000,-65.6073760000],
[-27.9901630000,-65.6029940000],
[-27.9918260000,-65.6007640000],
[-27.9969670000,-65.5938910000],
[-28.0016780000,-65.5729810000],
[-28.0027420000,-65.5503000000],
[-28.0006440000,-65.5446360000],
[-27.9978980000,-65.5372320000],
[-27.9958240000,-65.5350170000],
[-27.9889510000,-65.5276690000],
[-27.9848030000,-65.5232220000],
[-27.9834110000,-65.5227100000],
[-27.9660730000,-65.5163500000],
[-27.9444500000,-65.5105960000],
[-27.9316090000,-65.5054190000],
[-27.9302720000,-65.5048790000],
[-27.9227620000,-65.5018530000],
[-27.9217020000,-65.5006390000],
[-27.9085540000,-65.4856250000],
[-27.8989870000,-65.4731270000],
[-27.8810450000,-65.4470240000],
[-27.8792200000,-65.4443650000],
[-27.8752810000,-65.4385560000],
[-27.8648170000,-65.4230830000],
[-27.8592280000,-65.4148170000],
[-27.8481610000,-65.3949200000],
[-27.8405250000,-65.3683540000],
[-27.8493270000,-65.3516330000],
[-27.8666820000,-65.3186420000],
[-27.8759540000,-65.2998290000],
[-27.8851700000,-65.2811340000],
[-27.8960890000,-65.2589750000],
[-27.8998020000,-65.2514440000],
[-27.9116530000,-65.2292160000],
[-27.9214210000,-65.2108890000],
[-27.9270270000,-65.2003740000],
[-27.9348810000,-65.1841670000],
[-27.9145390000,-65.1881880000],
[-27.9134540000,-65.1862410000],
[-27.9116930000,-65.1798620000],
[-27.9015080000,-65.1682740000],
[-27.9010420000,-65.1680740000],
[-27.8808370000,-65.1594980000],
[-27.8655040000,-65.1553550000],
[-27.8668290000,-65.1397720000],
[-27.8668580000,-65.1394140000],
[-27.8678210000,-65.1281910000],
[-27.8780570000,-65.1273280000],
[-27.8781760000,-65.1270040000],
[-27.8902050000,-65.0942400000],
[-27.8904070000,-65.0880200000],
[-27.8834570000,-65.0740270000],
[-27.8732520000,-65.0534810000],
[-27.8715910000,-65.0501420000],
[-27.8258600000,-65.0342760000],
[-27.8058610000,-65.0273400000],
[-27.7706110000,-65.0151280000],
[-27.7672820000,-64.9994040000],
[-27.7624360000,-64.9765350000],
[-27.7590030000,-64.9603430000],
[-27.7460580000,-64.9666670000],
[-27.7255680000,-64.9766810000],
[-27.7129360000,-64.9828550000],
[-27.7063910000,-64.9860480000],
[-27.6593700000,-65.0090100000],
[-27.6401850000,-65.0183730000],
[-27.5931620000,-65.0413090000],
[-27.5888810000,-65.0433940000],
[-27.5756290000,-65.0328390000],
[-27.5733110000,-65.0309960000],
[-27.5743050000,-65.0241600000],
[-27.5760050000,-65.0175980000],
[-27.5721450000,-65.0140580000],
[-27.5659050000,-65.0171890000],
[-27.5627730000,-65.0195860000],
[-27.5612930000,-65.0151240000],
[-27.5604490000,-65.0125800000],
[-27.5621070000,-65.0069800000],
[-27.5636830000,-65.0016540000],
[-27.5661430000,-64.9986830000],
[-27.5705570000,-64.9933620000],
[-27.5735200000,-64.9863030000],
[-27.5701400000,-64.9788130000],
[-27.5700570000,-64.9786270000],
[-27.5613880000,-64.9734620000],
[-27.5526150000,-64.9676340000],
[-27.5385690000,-64.9705210000],
[-27.5221480000,-64.9744770000],
[-27.5194460000,-64.9751270000],
[-27.5096190000,-64.9891760000],
[-27.5082930000,-64.9911920000],
[-27.5007290000,-65.0027260000],
[-27.5040730000,-65.0104300000],
[-27.5058620000,-65.0145510000],
[-27.5037820000,-65.0242060000],
[-27.4944960000,-65.0318060000],
[-27.4902610000,-65.0372110000],
[-27.4867950000,-65.0416220000],
[-27.4826160000,-65.0401280000],
[-27.4718510000,-65.0362910000],
[-27.4464770000,-65.0272670000],
[-27.4185420000,-65.0173220000],
[-27.3766020000,-65.0072990000],
[-27.3737140000,-65.0066090000],
[-27.3718020000,-65.0061490000],
[-27.3482620000,-64.9989720000],
[-27.3356280000,-64.9951270000],
[-27.3418670000,-64.9658980000],
[-27.3427910000,-64.9627520000],
[-27.3472790000,-64.9475200000],
[-27.3312580000,-64.9410180000],
[-27.3199090000,-64.9057000000],
[-27.3174440000,-64.8980260000],
[-27.3105420000,-64.8765350000],
[-27.2926160000,-64.8703570000],
[-27.2680120000,-64.8618690000],
[-27.2610540000,-64.8594760000],
[-27.2250840000,-64.8470840000],
[-27.2259610000,-64.8407860000],
[-27.2054120000,-64.8334750000],
[-27.1984660000,-64.8310090000],
[-27.1863570000,-64.8267030000],
[-27.1631600000,-64.8184690000],
[-27.1501090000,-64.8138350000],
[-27.1457010000,-64.8079830000],
[-27.1477100000,-64.8023410000],
[-27.1458740000,-64.8018490000],
[-27.1453000000,-64.8016890000],
[-27.1387920000,-64.7999200000],
[-27.0757150000,-64.7828790000],
[-27.0687020000,-64.7806480000],
[-27.0380450000,-64.7708980000],
[-27.0071930000,-64.7610840000],
[-27.0041900000,-64.7607620000],
[-26.9659420000,-64.7566110000],
[-26.9445720000,-64.7507010000],
[-26.9361090000,-64.7483660000],
[-26.9251590000,-64.7453330000],
[-26.8745910000,-64.7353720000],
[-26.8737600000,-64.7352320000],
[-26.8651380000,-64.7337760000],
[-26.8328110000,-64.7283220000],
[-26.8292860000,-64.7267070000],
[-26.8294890000,-64.7186680000],
[-26.8297800000,-64.7070720000],
[-26.8344530000,-64.6887730000],
[-26.7907780000,-64.6781320000],
[-26.7898920000,-64.6779130000],
[-26.7915390000,-64.6660980000],
[-26.7933230000,-64.6532890000],
[-26.7974460000,-64.6236270000],
[-26.7758580000,-64.6190820000],
[-26.7529810000,-64.6142650000],
[-26.7049210000,-64.6041650000],
[-26.6820570000,-64.5993580000],
